"1064712710:1064712710-3078119847"
"2499939827:2499939827-3078119847"
"2441039196:2441039196-2441039249-2441039318-2441039320-291015708-1251914703-2990915134-1005290709-1005290138-1005291319-1005290989-1005290789-1005065271-1005065243-2622063007-1007748598-1007751375-2622165149-2622177848-411760959-411759625-2666099493-2666099670-2666099837-2666099898-676632525-1256495996-1256495989-1007040315-549791238-2649849399-995781404-995781336-995781378-676615964-2407622191-3078119847"
"2445088779:2445088779-2433070181-634102404-989054921-1004200335-1008552439-1004298381-1008552480-1004201667-2441862809-2409480857-1004298177-3213916514-1005290492-1005493460-1005290352-1005290881-1005493952-4271367857-2445035906-4271367864-2445035905-1005494089-2619547229-2619547231-1005875780-317512622-291015721-676632525-1256495996-1256495989-1007040315-549791238-2649849399-995781404-995781336-995781378-676615964-2407622191-3078119847"
"2499750076:2499750076-937213647-1109076372-1109076294-2537538041-2537539327-1006011771-1006011760-1005064785-1082824172-2649849107-2649849095-2649849135-1082824520-1082824073-2407628188-3078119151-2407631011-995781404-995781336-995781378-676615964-2407622191-3078119847"
"2533523851:2533523851-2533523847-678268974-678268986-678268983-678268980-1046449969-2486486851-2694778670-1010719205-1010717938-1010716499-1010715850-1376708296-3065099737-1010715339-1010717291-1010715285-1010716495-5380228305-5380228301-291015439-2398327304-2398340146-1005494553-1005491521-301162306-2398361978-2398361960-2619547233-1006084100-1005875452-1005876518-1005875878-317512622-291015721-676632525-1256495996-1256495989-1007040315-549791238-2649849399-995781404-995781336-995781378-676615964-2407622191-3078119847"
"2504445178:2504445178-2666099733-2504445191-676632525-1256495996-1256495989-1007040315-549791238-2649849399-995781404-995781336-995781378-676615964-2407622191-3078119847"
"2597182860:2597182860-2436761323-2436761311-2436761419-1004236206-3824809469-2456420209-2848712106-1004236313-2603391092-1004236219-1004201481-1776932294-1004298451-1008552480-1004201667-2441862809-2409480857-1004298177-3213916514-1005290492-1005493460-1005290352-1005290881-1005493952-4271367857-2445035906-4271367864-2445035905-1005494089-2619547229-2619547231-1005875780-317512622-291015721-676632525-1256495996-1256495989-1007040315-549791238-2649849399-995781404-995781336-995781378-676615964-2407622191-3078119847"
"1004298152:1004298152-634102404-989054921-1004200335-1008552439-1004298381-1008552480-1004201667-2441862809-2409480857-1004298177-3213916514-1005290492-1005493460-1005290352-1005290881-1005493952-4271367857-2445035906-4271367864-2445035905-1005494089-2619547229-2619547231-1005875780-317512622-291015721-676632525-1256495996-1256495989-1007040315-549791238-2649849399-995781404-995781336-995781378-676615964-2407622191-3078119847"
"2597265927:2597265927-2525199767-513577758-291015716-2666100417-2666100399-1113491572-1113491667-1005876055-1007041362-1005876473-1256495989-1007040315-549791238-2649849399-995781404-995781336-995781378-676615964-2407622191-3078119847"
